State,District,Year,January,February,March,April,May,June,July,August,September,October,November,December,Annual Total
Himachal Pradesh,Sirmur,2005.0,63.5,96.9,87.7,3.3,29.4,105.6,477.0,127.5,323.0,0.0,0.0,0.0,1313.9
Himachal Pradesh,Sirmur,2006.0,42.7,1.3,125.4,6.4,104.6,123.4,538.4,322.0,64.4,20.0,10.8,18.8,1378.2
Himachal Pradesh,Sirmur,2007.0,0.0,179.7,166.0,15.2,24.8,186.9,199.6,399.0,80.8,13.3,0.0,11.0,1276.3
Himachal Pradesh,Sirmur,2008.0,29.4,33.1,0.0,41.9,64.0,320.6,305.7,366.0,255.1,5.3,1.0,0.0,1422.1
Himachal Pradesh,Sirmur,2009.0,1.3,24.1,24.9,16.6,37.1,40.7,313.3,112.7,365.1,26.3,12.8,0.0,974.9
Himachal Pradesh,Sirmur,2010.0,8.1,31.4,1.2,4.4,24.6,90.3,566.7,509.5,597.1,13.4,12.3,44.9,1903.9
Himachal Pradesh,Solan,2004.0,87.9,4.3,0.0,37.1,51.9,76.1,78.4,306.3,82.3,85.4,0.4,3.0,813.1
Himachal Pradesh,Solan,2005.0,49.2,129.8,55.8,9.4,19.5,33.5,391.0,93.7,167.4,1.4,0.0,0.0,950.7
Himachal Pradesh,Solan,2006.0,49.9,0.9,100.3,13.3,77.6,103.2,271.7,244.2,80.6,7.4,7.7,17.8,974.6
Himachal Pradesh,Solan,2007.0,0.1,171.2,150.6,18.0,21.1,124.1,200.0,364.2,100.8,18.9,0.0,4.8,1173.8
Himachal Pradesh,Solan,2008.0,44.1,32.7,0.0,11.4,95.9,307.5,275.3,357.9,341.2,24.9,0.0,1.2,1492.1
Himachal Pradesh,Solan,2009.0,10.6,22.2,34.3,19.4,21.1,44.9,224.7,122.4,365.9,10.3,6.1,0.2,882.1
Himachal Pradesh,Solan,2010.0,7.5,56.3,0.2,0.7,39.4,169.2,419.3,287.4,283.8,29.8,15.4,68.3,1377.3
Himachal Pradesh,Una,2004.0,116.2,13.2,0.0,24.7,34.7,123.3,320.0,226.6,89.8,145.7,2.2,12.0,1108.4
Himachal Pradesh,Una,2005.0,62.0,156.5,69.4,8.0,16.2,78.0,409.7,273.4,143.7,0.5,0.0,0.0,1217.4
Himachal Pradesh,Una,2006.0,15.4,1.3,32.8,14.3,83.6,146.9,313.8,506.9,138.7,23.8,4.5,26.5,1308.5
Himachal Pradesh,Una,2007.0,0.0,98.1,127.0,25.3,15.3,127.4,244.1,506.9,86.3,1.6,0.0,12.3,1244.3
Himachal Pradesh,Una,2008.0,16.3,14.2,0.0,18.0,12.2,292.8,439.0,551.4,90.4,36.7,0.0,0.5,1471.5
Himachal Pradesh,Una,2009.0,14.6,45.0,31.8,31.2,25.3,44.2,430.9,454.3,84.1,20.6,30.2,0.0,1212.2
Himachal Pradesh,Una,2010.0,10.8,38.4,2.4,1.3,52.4,79.5,270.4,409.6,217.9,35.1,5.8,58.7,1182.3
